name,points,clears
JE-chan⌒★,38.6,18
Wjixy,8.399999999999999,2
MathSim,15.899999999999999,5
Jin♪,46.2,15
PePanga,5.1,1
LARAAAA,23.499999999999996,9
AndresCG,5.1,1
YayoGamer,24.3,7
pepitozua,10.2,2
T4M3Z,13.399999999999999,4
Jimさん,6.8,2
__SCaR__,12.599999999999998,4
CoChief,16.7,5
Yotas,16.8,6
Maurock80,5.1,1
MasterT88,5.1,1
fls⌒▽⌒,5.1,1
Yuni008,5.1,1
Smilers :),10.899999999999999,3
LUFFYGAMEZ,5.1,1
MarkGamer3,5.1,1
LegoMario,5.1,1
Moritotube,16.799999999999997,6
Big Stylus,14.3,4
YT-cammus,5.1,1
SEGADETH,102.89999999999999,35
Nowar タイトラ,5.1,1
*すぎ*,62.00000000000002,24
FB_PULGA,5.1,1
Krutzger,35.4,17
maxzstar,71.9,27
fifkkekdjj,10.299999999999999,4
Keiichi,21.799999999999997,8
JasvaniJam,17.599999999999998,6
とっぽb,17.0,7
DeimosJNY,17.599999999999998,6
gabe89,15.0,4
Kirr12,8.399999999999999,2
leovalle88,30.9,11
TD_SMM,16.8,6
Kysthos,5.1,1
qaqáĮ,5.1,1
blight63,14.5,5
Tamal,15.0,4
And.Cosmic,5.1,1
GT◆Kev_97,5.1,1
montemole,41.000000000000014,16
FredDOGG23,5.1,1
adrizelda,5.1,1
ritzMo,19.2,6
Piroo,7.6,2
BertGamer,10.999999999999998,4
FedeSMM,5.1,1
No war ラルバ,5.1,1
JimmyJ,14.299999999999997,5
dbl 420,19.4,7
ιοsтınе,10.2,2
EmrikPro09,7.6,2
alexDT,5.1,1
Dan Sensei,5.1,1
Gh0st8,7.6,2
Dr. Żaiuss,15.899999999999999,5
Steveorwvr,5.1,1
Kytoge,25.4,11
Carbenka,5.1,1
Albrosky,8.5,3
Actodus,36.900000000000006,14
Boge88,47.20000000000002,19
iiPK,19.299999999999997,10
▲★'Paco'★▲,89.29999999999998,29
Heri16,12.8,4
Xypher*,12.599999999999998,4
luisiGo,10.899999999999999,3
maggie vr,8.399999999999999,2
PipeWarp,12.799999999999999,5
Oshikorosu,15.900000000000002,4
S3pti²,74.90000000000003,30
Prof Х,26.9,10
zetes,62.60000000000001,21
Rodins,12.5,7
KevDizzle,20.2,8
ニトロばくだん。,10.1,3
イクラドン :),5.1,1
Aziz4ever,22.7,7
PogSnoomba,9.299999999999999,3
[au],15.999999999999998,6
Orange[cd],40.2,12
ジャビット,5.1,1
★たかぎさん/KT☆,18.4,6
Thiaguiño,5.1,1
simple1114,5.1,1
Pieterpie,8.399999999999999,2
ZauronZeta,20.299999999999997,8
ニート39,11.799999999999999,4
Diegoshun7,6.8,2
fb NHE,40.900000000000006,17
PsycOtycA,76.30000000000001,28
パラドックス,15.999999999999998,6
ß0Y,7.6,2
"ゆーら^^""",11.299999999999999,5
6PaxMax,5.1,1
jy^^,17.7,6
xpyol,15.899999999999999,5
*ZONO*,10.899999999999999,3
スターフェスティバル,29.5,10
Jorio,46.10000000000001,18
Crono2002,30.9,11
junzilan,30.099999999999998,11
9のへいほうこんは,7.6,2
Gonql,45.30000000000001,18
Max Pro,105.3,41
DD24,30.2,11
bad_bapt,11.7,3
BlueAfroin,68.4,23
Long Danzi,152.99999999999983,57
SAWBLADE17,97.99999999999999,34
バットもってこい,17.099999999999998,7
5uitandtie,37.70000000000001,14
SkyLink-S,6.8,2
ゆざくら,20.9,7
AMMondMilk,122.40000000000002,47
シリウス14,28.5,9
DaBrogo,9.299999999999999,3
"""yuur""",5.1,1
blacκbεaη,135.49999999999994,49
CLatimer4,53.700000000000024,21
Skunkpunx,149.19999999999987,53
Hoopa64,11.799999999999999,4
gringoDK,68.10000000000002,28
drain79,195.99999999999983,69
KirbyQT,76.40000000000002,29
Kachelonin,46.10000000000001,16
・Realm・,59.00000000000003,23
Louis XIX,40.900000000000006,17
Aura,12.600000000000001,3
whyischris,5.1,1
Jamie_85,6.1,2
[Slogan],6.1,2
J-Bizzle,67.10000000000002,28
DoC. GaMeR,9.399999999999999,3
Dario_Man,11.899999999999999,4
RedDungeon,6.1,2
Αīr,10.2,2
Evil Jesse,15.299999999999999,3
★Yesin★,21.9,6
Adv_Trash!,5.1,1
ƒ £ まみず ♪™,10.099999999999998,3
Edu24 pro,11.7,3
Brainish,5.1,1
wb33st,11.8,3
Mr24/7,6.1,2
thischair?,9.399999999999999,3
HylianDred,7.6,2
PhoenixNL,25.4,10
OGZINHO,23.400000000000002,7
Banghead,31.700000000000003,9
Cаtboy!,15.399999999999999,4
Non Kablue,17.8,6
CHN★6Fish,5.1,1
BlueChoco,5.1,1
Zyrο,14.399999999999999,3
Flaaky99,9.3,2
[Serge],7.6,2
Ethanos72,14.399999999999999,3
Vieux Pec,5.1,1
GiantAlien,14.399999999999999,3
Scrooge74,22.799999999999997,7
han ji suk,10.1,3
Щпмодкир,5.1,1
なのらー,5.1,1
よっしー・,5.1,1
ハルマキWWW,5.1,1
Sebzouy,5.1,1
うたうかす,23.5,9
ガジュマル6,5.1,1
キュアヤムヤム,11.8,3
かずにうむ,5.1,1
アルトともうす,32.2,13
はる^_^,5.1,1
BlackFlies,9.3,2
ぽこにゃんのいとこ_,5.1,1
Hanzoooo ツ,63.10000000000002,28
タニブ,9.299999999999999,3
うぃー★Freddy,5.1,1
イザクラUMA,5.1,1
yang si ho,7.6,2
モザ・イクo,12.599999999999998,4
Robyn2,5.1,1
Calican,9.3,2
からあげさんll,5.1,1
マンゴーのぶた,5.1,1
Javi IS,12.599999999999998,4
Beschde,5.1,1
ブーちゃんDX,16.7,5
げきむずコースつくる,5.1,1
くまがさ　たろうαχ,9.299999999999999,3
iulip,5.1,1
♪【obama】♪,5.1,1
